measurement_date,grid_cell_id,min_temperature,max_temperature,mean_temperature,precipitation
2010-03-20,1001,1044,1700,1448,8.492
2010-03-21,1001,962,1755,1388,0.834
2010-03-22,1001,1095,1843,1520,4.894
2010-03-23,1001,886,1851,1367,2.947
2010-03-24,1001,1106,1870,1398,0.0
2010-03-25,1001,1054,2033,1360,0.0
2010-03-26,1001,1338,1776,1413,4.845
2010-03-27,1001,1212,1801,1437,0.0
2010-03-28,1001,1102,1952,1477,1.453
2010-03-29,1001,1106,1690,1378,0.0
2010-03-30,1001,1054,1784,1363,1.105
2010-03-31,1001,1131,1938,1466,7.802
2010-04-01,1001,1061,1956,1403,0.0
2010-04-02,1001,1379,2104,1656,7.731
2010-04-03,1001,1340,2079,1569,2.702
2010-04-04,1001,1345,2192,1649,1.633
2010-04-05,1001,1296,2130,1618,5.049
2010-04-06,1001,1157,2047,1455,1.848
2010-04-07,1001,1142,2153,1490,0.0
2010-04-08,1001,1206,2033,1589,0.0
2010-04-09,1001,1135,1721,1451,7.165
2010-04-10,1001,1147,1982,1650,5.238
2010-04-11,1001,1322,1984,1513,0.722
2010-04-12,1001,1261,2103,1539,4.058
2010-04-13,1001,1155,1958,1443,0.0
2010-04-14,1001,1155,1964,1563,0.0
2010-04-15,1001,1596,2166,1748,0.0
2010-04-16,1001,1152,2080,1541,0.0
2010-04-17,1001,1145,1788,1535,2.01
2010-04-18,1001,1229,1925,1462,0.0
2010-04-19,1001,1248,2136,1595,3.602
2010-04-20,1001,1194,2103,1529,0.0
2010-04-21,1001,1092,2173,1470,4.543
2010-04-22,1001,1295,2004,1497,0.0
2010-04-23,1001,952,1989,1401,1.165
2010-04-24,1001,1023,2005,1405,3.678
2010-04-25,1001,1098,2132,1448,0.0
2010-04-26,1001,1148,1978,1582,0.0
2010-04-27,1001,1221,1949,1590,0.0
2010-04-28,1001,1036,1998,1455,1.752
2010-04-29,1001,1228,1978,1540,3.534
2010-04-30,1001,1379,2128,1634,0.0
2010-05-01,1001,1386,2142,1671,3.817
2010-05-02,1001,1252,2224,1566,1.476
2010-05-03,1001,1262,2065,1528,0.926
2010-05-04,1001,1167,2110,1424,0.0
2010-05-05,1001,1103,1970,1573,0.847
2010-05-06,1001,1533,2306,1737,0.689
2010-05-07,1001,1040,2101,1597,0.0
2010-05-08,1001,1397,2205,1566,4.408
2010-05-09,1001,1323,2200,1609,0.222
2010-05-10,1001,1458,2275,1715,0.0
2010-05-11,1001,1218,2003,1544,0.585
2010-05-12,1001,1270,2201,1612,0.296
2010-05-13,1001,947,1932,1412,0.209
2010-05-14,1001,1228,1896,1606,0.0
2010-05-15,1001,1233,2121,1560,1.101
2010-05-16,1001,1232,1917,1500,1.263
2010-05-17,1001,1337,2288,1661,0.175
2010-05-18,1001,1369,1993,1467,1.535
2010-05-19,1001,1071,1984,1436,4.193
2010-05-20,1001,1157,1812,1495,0.0
2010-05-21,1001,1084,1971,1481,0.0
2010-05-22,1001,1156,1867,1477,0.0
2010-05-23,1001,1260,1930,1604,2.023
2010-05-24,1001,1442,2209,1700,2.811
2010-05-25,1001,1349,1944,1495,1.111
2010-05-26,1001,1240,2078,1457,0.0
2010-05-27,1001,1101,2111,1489,1.216
2010-05-28,1001,1192,2092,1619,0.0
2010-05-29,1001,1322,2055,1519,5.425
2010-05-30,1001,1128,1933,1470,0.0
2010-05-31,1001,1145,2142,1505,1.362
2010-06-01,1001,1190,1953,1444,2.504
2010-06-02,1001,1067,2002,1471,0.0
2010-06-03,1001,1278,1870,1492,0.0
2010-06-04,1001,1189,1961,1515,0.0
2010-06-05,1001,1025,2076,1392,1.415
2010-06-06,1001,1119,1984,1409,1.002
2010-06-07,1001,1136,1980,1530,1.254
2010-06-08,1001,1504,2023,1596,2.132
2010-06-09,1001,1099,1904,1451,1.292
2010-06-10,1001,1066,1653,1444,0.0
2010-06-11,1001,1215,1866,1373,0.71
2010-06-12,1001,1360,2035,1594,1.337
2010-06-13,1001,1188,1712,1385,0.0
2010-06-14,1001,1130,1676,1388,0.657
2010-06-15,1001,1223,2020,1455,0.477
2010-06-16,1001,1202,1962,1333,0.203
2010-06-17,1001,968,1967,1378,2.524
2010-06-18,1001,873,1573,1251,1.498
2010-06-19,1001,1144,1773,1388,0.0
2010-06-20,1001,1175,1746,1339,0.42
2010-06-21,1001,1047,1833,1331,1.798
2010-06-22,1001,996,1746,1288,0.254
2010-06-23,1001,1002,1847,1163,0.0
2010-06-24,1001,1373,1913,1458,0.0
2010-06-25,1001,713,1601,1137,4.187
2010-06-26,1001,989,1825,1342,0.895
2010-06-27,1001,832,1809,1218,0.697
2010-06-28,1001,868,1739,1185,0.0
2010-06-29,1001,812,1667,1258,0.582
2010-06-30,1001,917,1716,1310,1.974
2010-07-01,1001,818,1612,1170,2.427
2010-07-02,1001,983,1873,1236,0.0
2010-07-03,1001,872,1552,1201,0.0
2010-07-04,1001,905,1715,1196,2.665
2010-07-05,1001,788,1612,1132,0.0
2010-07-06,1001,858,1340,1114,0.0
2010-07-07,1001,815,1806,1154,0.0
2010-07-08,1001,910,1800,1232,0.0
2010-07-09,1001,977,1593,1193,0.0
2010-07-10,1001,823,1738,1072,0.0
2010-07-11,1001,923,1790,1267,6.056
2010-07-12,1001,703,1716,1064,1.099
2010-07-13,1001,992,1691,1113,0.79
2010-07-14,1001,839,1595,1189,0.0
2010-07-15,1001,794,1578,1116,0.652
2010-07-16,1001,644,1467,958,0.0
2010-07-17,1001,705,1532,1016,3.952
2010-07-18,1001,878,1681,1205,1.464
2010-07-19,1001,579,1484,951,0.0
2010-07-20,1001,512,1363,961,0.84
2010-07-21,1001,699,1435,873,0.839
2010-07-22,1001,755,1557,1062,0.0
2010-07-23,1001,654,1664,986,3.453
2010-07-24,1001,772,1535,1037,2.892
2010-07-25,1001,728,1610,1148,2.94
2010-07-26,1001,469,1231,844,0.0
2010-07-27,1001,628,1369,922,0.401
2010-07-28,1001,554,1430,916,2.434
2010-07-29,1001,616,1369,934,1.154
2010-07-30,1001,841,1690,990,0.679
2010-07-31,1001,481,1502,972,2.451
2010-08-01,1001,586,1375,851,0.68
2010-08-02,1001,602,1397,906,0.0
2010-08-03,1001,388,1256,848,1.721
2010-08-04,1001,611,1374,914,1.438
2010-08-05,1001,344,1178,780,0.363
2010-08-06,1001,505,1312,827,0.0
2010-08-07,1001,773,1465,846,1.699
2010-08-08,1001,466,1219,820,0.926
2010-08-09,1001,558,1389,777,0.0
2010-08-10,1001,515,1168,868,2.479
2010-08-11,1001,347,1239,719,0.149
2010-08-12,1001,448,1489,752,1.259
2010-08-13,1001,352,1055,772,2.645
2010-08-14,1001,430,1267,725,2.784
2010-08-15,1001,378,1286,783,0.0
2010-08-16,1001,488,1165,626,0.0
2010-08-17,1001,352,1157,744,0.0
2010-08-18,1001,203,1116,561,0.0
2010-08-19,1001,338,1094,651,1.315
2010-08-20,1001,372,1026,733,0.702
2010-08-21,1001,361,1175,719,4.477
2010-08-22,1001,487,1159,680,0.545
2010-08-23,1001,144,1134,547,3.853
2010-08-24,1001,260,1270,599,4.248
2010-08-25,1001,496,1105,708,0.0
2010-08-26,1001,265,998,557,4.435
2010-08-27,1001,303,936,573,1.469
2010-08-28,1001,274,1093,646,4.409
2010-08-29,1001,43,1005,379,0.0
2010-08-30,1001,247,810,609,0.438
2010-08-31,1001,169,762,453,2.039
2010-09-01,1001,179,1011,557,1.441
2010-09-02,1001,222,1177,722,0.0
2010-09-03,1001,260,1060,569,1.576
2010-09-04,1001,123,1012,500,2.117
2010-09-05,1001,310,1025,658,0.0
2010-09-06,1001,181,1157,615,2.357
2010-09-07,1001,3,859,405,5.538
2010-09-08,1001,101,857,436,1.347
2010-09-09,1001,170,1076,480,0.0
2010-09-10,1001,92,1110,438,0.0
2010-09-11,1001,155,1059,478,1.691
2010-09-12,1001,178,1118,426,0.0
2010-09-13,1001,-21,641,391,0.613
2010-09-14,1001,133,1216,441,0.998
2010-09-15,1001,96,1005,457,1.372
2010-09-16,1001,322,1156,551,4.999
2010-09-17,1001,129,923,574,0.828
2010-09-18,1001,-1,540,290,1.077
2010-09-19,1001,87,1062,474,0.0
2010-09-20,1001,31,700,361,2.575
2010-09-21,1001,36,785,403,3.196
2010-09-22,1001,156,864,498,0.0
2010-09-23,1001,-212,678,215,4.163
2010-09-24,1001,-179,682,293,1.87
2010-09-25,1001,277,843,438,0.0
2010-09-26,1001,163,787,402,1.347
2010-09-27,1001,146,748,356,0.267
2010-09-28,1001,182,1004,427,0.0
2010-09-29,1001,-28,1098,366,3.58
2010-09-30,1001,179,788,433,3.015
2010-10-01,1001,-92,912,259,5.36
2010-10-02,1001,38,859,286,1.151
2010-10-03,1001,-53,727,197,3.5
2010-10-04,1001,57,955,416,2.917
2010-10-05,1001,18,810,323,3.075
2010-10-06,1001,91,832,399,0.995
2010-10-07,1001,-5,805,324,0.639
2010-10-08,1001,22,933,437,1.13
2010-10-09,1001,-24,822,307,4.539
2010-10-10,1001,5,637,287,3.755
2010-10-11,1001,-191,727,197,0.837
2010-10-12,1001,-67,631,256,4.115
2010-10-13,1001,13,729,358,3.597
2010-10-14,1001,-252,849,172,1.394
2010-10-15,1001,-232,676,227,1.589
2010-10-16,1001,125,818,421,4.321
2010-10-17,1001,-222,575,228,0.0
2010-10-18,1001,8,668,329,7.667
2010-10-19,1001,-85,678,313,0.0
2010-10-20,1001,159,722,348,0.529
2010-10-21,1001,-241,500,97,3.535
2010-10-22,1001,-129,679,205,2.38
2010-10-23,1001,16,676,389,0.0
2010-10-24,1001,-123,694,105,3.424
2010-10-25,1001,-151,740,189,1.846
2010-10-26,1001,-209,675,173,1.918
2010-10-27,1001,57,595,271,0.0
2010-10-28,1001,-82,646,191,0.0
2010-10-29,1001,-252,714,248,3.311
2010-10-30,1001,39,939,265,0.313
2010-10-31,1001,-131,730,205,0.0
2010-11-01,1001,-157,298,99,0.461
2010-11-02,1001,17,817,301,1.379
2010-11-03,1001,-22,546,124,0.925
2010-11-04,1001,-202,657,182,0.0
2010-11-05,1001,-154,943,250,0.377
2010-11-06,1001,-133,466,154,0.427
2010-11-07,1001,154,696,261,1.761
2010-11-08,1001,-197,773,196,0.0
2010-11-09,1001,-109,733,261,2.532
2010-11-10,1001,-228,628,248,2.579
2010-11-11,1001,74,736,302,0.0
2010-11-12,1001,-221,778,232,0.894
2010-11-13,1001,-154,791,258,1.872
2010-11-14,1001,80,808,322,0.751
2010-11-15,1001,44,870,431,1.622
2010-11-16,1001,-119,816,227,0.673
2010-11-17,1001,-2,765,300,0.189
2010-11-18,1001,-78,751,215,0.0
2010-11-19,1001,109,863,333,1.293
2010-11-20,1001,10,905,367,5.641
2010-11-21,1001,-16,693,322,0.0
2010-11-22,1001,-117,876,237,8.28
2010-11-23,1001,-43,776,309,0.459
2010-11-24,1001,-8,902,223,3.06
2010-11-25,1001,121,932,386,0.0
2010-11-26,1001,-93,649,269,0.0
2010-11-27,1001,-163,870,245,3.289
2010-11-28,1001,44,592,327,1.91
2010-11-29,1001,-190,937,231,3.132
2010-11-30,1001,186,848,396,0.0
2010-12-01,1001,89,899,396,0.0
2010-12-02,1001,51,833,380,0.0
2010-12-03,1001,72,977,336,3.425
2010-12-04,1001,-95,996,370,3.174
2010-12-05,1001,-8,783,357,3.948
2010-12-06,1001,-11,1068,395,2.395
2010-12-07,1001,203,683,430,2.075
2010-12-08,1001,230,1091,501,8.48
2010-12-09,1001,293,1070,453,2.653
2010-12-10,1001,183,1021,430,0.0
2010-12-11,1001,-45,864,319,7.635
2010-12-12,1001,208,736,419,4.894
2010-12-13,1001,137,609,393,1.583
2010-12-14,1001,262,979,380,0.0
2010-12-15,1001,-46,994,396,3.456
2010-12-16,1001,306,1028,517,0.0
2010-12-17,1001,128,929,482,0.0
2010-12-18,1001,217,1070,538,10.24
2010-12-19,1001,99,900,363,3.825
2010-12-20,1001,353,1097,597,0.0
2010-12-21,1001,76,864,502,0.0
2010-12-22,1001,353,1236,565,0.0
2010-12-23,1001,132,818,415,0.0
2010-12-24,1001,415,1153,743,0.0
2010-12-25,1001,330,1170,580,1.476
2010-12-26,1001,243,970,560,2.258
2010-12-27,1001,220,965,423,6.977
2010-12-28,1001,297,974,461,7.581
2010-12-29,1001,29,720,352,2.453
2010-12-30,1001,350,1061,531,0.0
2010-12-31,1001,105,899,498,2.944
2011-01-01,1001,333,1179,636,4.283
2011-01-02,1001,379,1268,661,1.373
2011-01-03,1001,151,952,482,0.0
2011-01-04,1001,255,1194,533,3.604
2011-01-05,1001,308,1115,563,2.275
2011-01-06,1001,374,1170,596,4.068
2011-01-07,1001,205,962,695,2.931
2011-01-08,1001,415,996,733,0.0
2011-01-09,1001,426,1425,643,3.57
2011-01-10,1001,542,1414,777,2.784
2011-01-11,1001,178,1091,471,1.289
2011-01-12,1001,397,877,628,0.422
2011-01-13,1001,578,1296,916,0.083
2011-01-14,1001,562,1222,782,3.992
2011-01-15,1001,435,1050,688,4.231
2011-01-16,1001,422,1262,779,0.0
2011-01-17,1001,346,1326,718,4.712
2011-01-18,1001,453,1272,779,2.302
2011-01-19,1001,392,1242,708,4.32
2011-01-20,1001,366,1431,714,4.805
2011-01-21,1001,336,1412,856,2.043
2011-01-22,1001,588,1075,838,2.55
2011-01-23,1001,366,1282,700,3.305
2011-01-24,1001,460,1267,835,1.888
2011-01-25,1001,481,1462,884,2.643
2011-01-26,1001,525,1389,962,0.0
2011-01-27,1001,609,1481,915,0.0
2011-01-28,1001,591,1425,840,0.0
2011-01-29,1001,694,1699,993,0.0
2011-01-30,1001,378,1261,757,6.531
2011-01-31,1001,487,1326,867,3.467
2011-02-01,1001,548,1337,882,4.339
2011-02-02,1001,551,1518,874,0.0
2011-02-03,1001,686,1304,973,0.0
2011-02-04,1001,616,1310,948,4.09
2011-02-05,1001,596,1524,941,5.359
2011-02-06,1001,877,1555,1118,1.898
2011-02-07,1001,588,1581,968,0.0
2011-02-08,1001,933,1721,1091,13.186
2011-02-09,1001,681,1713,1055,2.232
2011-02-10,1001,800,1368,1045,0.0
2011-02-11,1001,825,1503,1076,0.0
2011-02-12,1001,562,1386,1007,1.108
2011-02-13,1001,626,1610,1029,1.202
2011-02-14,1001,892,1481,1083,0.0
2011-02-15,1001,591,1442,965,0.411
2011-02-16,1001,792,1547,1090,0.0
2011-02-17,1001,784,1752,1207,0.675
2011-02-18,1001,1078,1884,1281,1.756
2011-02-19,1001,910,1845,1199,9.606
2011-02-20,1001,786,1569,1078,2.708
2011-02-21,1001,878,1660,1178,3.719
2011-02-22,1001,880,1492,1127,0.0
2011-02-23,1001,880,1643,1231,0.0
2011-02-24,1001,787,1822,1199,1.483
2011-02-25,1001,784,1677,1095,0.0
2011-02-26,1001,805,1598,1162,2.027
2011-02-27,1001,797,1638,1072,2.901
2011-02-28,1001,973,1743,1315,0.0
2011-03-01,1001,819,1756,1186,0.0
2011-03-02,1001,964,1610,1254,0.0
2011-03-03,1001,789,1632,1199,0.0
2011-03-04,1001,687,1792,1286,0.632
2011-03-05,1001,1055,1949,1361,1.186
2011-03-06,1001,805,1821,1327,4.473
2011-03-07,1001,978,1724,1242,0.0
2011-03-08,1001,984,1583,1330,0.0
2011-03-09,1001,902,1975,1340,0.0
2011-03-10,1001,797,1413,1153,1.901
2011-03-11,1001,1095,1722,1345,0.37
2011-03-12,1001,1191,1716,1396,14.06
2011-03-13,1001,912,1771,1236,0.591
2011-03-14,1001,1024,1986,1395,2.585
2011-03-15,1001,1032,1953,1345,2.477
2011-03-16,1001,959,1579,1222,1.923
2011-03-17,1001,1113,1826,1287,0.0
2011-03-18,1001,1131,1877,1343,1.153
2011-03-19,1001,929,2076,1338,4.143
2011-03-20,1001,908,1900,1354,1.659
2011-03-21,1001,1190,1899,1480,1.105
2011-03-22,1001,1062,1842,1346,2.064
2011-03-23,1001,946,1691,1322,0.0
2011-03-24,1001,982,2090,1382,0.722
2011-03-25,1001,1060,1810,1420,3.352
2011-03-26,1001,1135,1870,1416,3.667
2011-03-27,1001,1068,1665,1408,5.323
2011-03-28,1001,972,2221,1499,0.659
2011-03-29,1001,1053,2038,1408,0.82
2011-03-30,1001,1045,1938,1427,0.169
2011-03-31,1001,1079,1920,1473,3.919
2011-04-01,1001,1248,1759,1382,0.95
2011-04-02,1001,947,1780,1395,0.0
2011-04-03,1001,1122,1959,1339,3.671
2011-04-04,1001,1071,2029,1342,1.332
2011-04-05,1001,1446,2158,1603,0.67
2011-04-06,1001,1105,1964,1530,0.818
2011-04-07,1001,1426,2048,1612,1.741
2011-04-08,1001,1018,1826,1336,0.0
2011-04-09,1001,1106,1798,1482,2.503
2011-04-10,1001,1306,2147,1552,0.0
2011-04-11,1001,1142,1986,1432,3.369
2011-04-12,1001,1156,1877,1551,3.257
2011-04-13,1001,1120,2036,1539,0.335
2011-04-14,1001,1234,1950,1491,0.0
2011-04-15,1001,1398,2036,1618,3.041
2011-04-16,1001,1415,1989,1624,1.364
2011-04-17,1001,978,1723,1446,1.458
2011-04-18,1001,1314,1933,1527,1.96
2011-04-19,1001,1201,2050,1480,2.396
2011-04-20,1001,1154,1982,1540,0.0
2011-04-21,1001,1187,1959,1575,2.998
2011-04-22,1001,1207,2003,1556,2.84
2011-04-23,1001,1398,2317,1609,0.474
2011-04-24,1001,1147,1689,1338,2.342
2011-04-25,1001,1345,2226,1654,0.0
2011-04-26,1001,1199,2036,1580,0.948
2011-04-27,1001,1089,1844,1494,0.0
2011-04-28,1001,1438,1969,1528,0.687
2011-04-29,1001,1389,1954,1530,1.453
2011-04-30,1001,1255,1934,1501,0.0
2011-05-01,1001,1188,1983,1484,1.469
2011-05-02,1001,1220,1960,1500,2.762
2011-05-03,1001,1116,2090,1553,1.427
2011-05-04,1001,1212,2060,1574,1.86
2011-05-05,1001,1291,1914,1514,3.006
2011-05-06,1001,1294,1976,1544,1.316
2011-05-07,1001,997,1876,1415,0.0
2011-05-08,1001,1069,1848,1357,3.445
2011-05-09,1001,1409,2308,1552,0.0
2011-05-10,1001,1263,2088,1544,0.0
2011-05-11,1001,1343,2027,1548,0.0
2011-05-12,1001,1322,2134,1610,0.204
2011-05-13,1001,1245,2398,1577,3.152
2011-05-14,1001,1337,1926,1562,0.0
2011-05-15,1001,1370,2123,1687,1.633
2011-05-16,1001,1263,1878,1625,3.013
2011-05-17,1001,1304,2196,1623,0.939
2011-05-18,1001,1339,1894,1530,0.0
2011-05-19,1001,1493,2216,1766,4.392
2011-05-20,1001,1103,1731,1502,0.0
2011-05-21,1001,1258,1861,1528,2.551
2011-05-22,1001,1050,1897,1551,0.743
2011-05-23,1001,1217,2089,1612,0.0
2011-05-24,1001,1189,2410,1667,0.0
2011-05-25,1001,1191,1933,1507,0.0
2011-05-26,1001,1194,1815,1478,7.74
2011-05-27,1001,1255,2137,1639,2.009
2011-05-28,1001,1111,2293,1449,0.0
2011-05-29,1001,1155,1946,1508,0.563
2011-05-30,1001,1081,2122,1525,0.484
2011-05-31,1001,1454,2058,1572,0.0
2011-06-01,1001,957,2131,1507,0.0
2011-06-02,1001,1018,1933,1369,0.0
2011-06-03,1001,1193,1894,1542,0.0
2011-06-04,1001,1042,1992,1500,2.133
2011-06-05,1001,1272,1969,1354,1.127
2011-06-06,1001,933,1801,1341,1.466
2011-06-07,1001,1113,1699,1433,0.0
2011-06-08,1001,1051,1709,1304,0.0
2011-06-09,1001,1062,2020,1424,0.252
2011-06-10,1001,1026,1922,1288,1.09
2011-06-11,1001,1209,2096,1530,2.612
2011-06-12,1001,1097,1924,1314,1.952
2011-06-13,1001,1103,1728,1351,0.0
2011-06-14,1001,1036,1721,1302,1.676
2011-06-15,1001,971,1769,1277,1.938
2011-06-16,1001,1245,1845,1403,0.0
2011-06-17,1001,953,1735,1421,7.487
2011-06-18,1001,967,1883,1372,0.561
2011-06-19,1001,1024,1923,1395,0.364
2011-06-20,1001,776,1711,1235,1.657
2011-06-21,1001,1052,1752,1321,0.797
2011-06-22,1001,968,1820,1240,0.0
2011-06-23,1001,901,1883,1332,0.902
2011-06-24,1001,981,2017,1310,0.0
2011-06-25,1001,994,1697,1179,2.385
2011-06-26,1001,940,1869,1354,0.0
2011-06-27,1001,1002,1584,1249,1.137
2011-06-28,1001,1179,1669,1319,0.0
2011-06-29,1001,1076,1727,1370,0.0
2011-06-30,1001,865,1888,1322,0.0
2011-07-01,1001,831,1779,1134,0.0
2011-07-02,1001,903,1545,1139,1.576
2011-07-03,1001,762,1378,1121,3.423
2011-07-04,1001,735,1712,1186,3.794
2011-07-05,1001,866,1905,1229,0.0
2011-07-06,1001,798,1832,1246,0.247
2011-07-07,1001,925,1798,1145,2.107
2011-07-08,1001,804,1456,1198,0.0
2011-07-09,1001,684,1937,1098,0.0
2011-07-10,1001,831,1729,1145,0.0
2011-07-11,1001,959,1545,1190,0.0
2011-07-12,1001,850,1816,1110,1.841
2011-07-13,1001,671,1395,1014,0.655
2011-07-14,1001,763,1522,1056,0.0
2011-07-15,1001,702,1386,1003,0.0
2011-07-16,1001,703,1429,1045,4.282
2011-07-17,1001,503,1131,882,0.0
2011-07-18,1001,904,1656,1107,0.0
2011-07-19,1001,767,1478,1060,1.964
2011-07-20,1001,815,1482,1000,0.925
2011-07-21,1001,765,1593,1042,0.0
2011-07-22,1001,530,1579,980,1.322
2011-07-23,1001,472,1441,988,0.0
2011-07-24,1001,631,1389,942,0.925
2011-07-25,1001,632,1329,913,1.02
2011-07-26,1001,532,1601,946,1.245
2011-07-27,1001,460,1373,868,0.0
2011-07-28,1001,861,1563,1040,2.785
2011-07-29,1001,669,1783,949,1.808
2011-07-30,1001,561,1438,795,1.62
2011-07-31,1001,570,1361,825,0.0
2011-08-01,1001,463,1255,919,0.0
2011-08-02,1001,593,1128,903,0.0
2011-08-03,1001,308,1172,752,0.0
2011-08-04,1001,413,1302,819,0.0
2011-08-05,1001,645,1365,983,0.0
2011-08-06,1001,501,1086,807,1.548
2011-08-07,1001,505,1259,784,0.484
2011-08-08,1001,381,1214,771,0.0
2011-08-09,1001,370,1207,766,0.536
2011-08-10,1001,536,1156,825,0.0
2011-08-11,1001,520,1281,787,1.78
2011-08-12,1001,393,1298,800,0.0
2011-08-13,1001,409,1180,803,0.105
2011-08-14,1001,279,925,611,0.0
2011-08-15,1001,369,1099,689,0.0
2011-08-16,1001,471,1189,809,0.357
2011-08-17,1001,380,1352,712,0.841
2011-08-18,1001,414,1076,732,1.158
2011-08-19,1001,492,1159,615,0.0
2011-08-20,1001,478,1201,764,0.0
2011-08-21,1001,390,996,696,0.0
2011-08-22,1001,281,1149,642,0.0
2011-08-23,1001,83,1127,709,1.745
2011-08-24,1001,551,1159,678,0.0
2011-08-25,1001,324,837,522,0.399
2011-08-26,1001,234,1253,597,0.535
2011-08-27,1001,89,969,590,5.545
2011-08-28,1001,265,1109,533,1.065
2011-08-29,1001,363,893,470,0.0
2011-08-30,1001,435,1200,723,0.0
2011-08-31,1001,376,1334,728,0.0
2011-09-01,1001,62,797,391,4.61
2011-09-02,1001,209,660,441,1.506
2011-09-03,1001,280,853,459,1.9
2011-09-04,1001,182,1249,629,2.622
2011-09-05,1001,126,840,500,1.09
2011-09-06,1001,340,1307,642,3.124
2011-09-07,1001,184,1294,598,0.0
2011-09-08,1001,250,1319,540,0.0
2011-09-09,1001,13,804,520,2.026
2011-09-10,1001,325,841,376,0.0
2011-09-11,1001,225,975,499,0.0
2011-09-12,1001,53,902,467,0.988
2011-09-13,1001,153,1114,541,0.0
2011-09-14,1001,-114,747,377,0.388
2011-09-15,1001,-144,619,254,1.496
2011-09-16,1001,292,770,525,1.453
2011-09-17,1001,189,987,569,4.489
2011-09-18,1001,26,608,326,0.0
2011-09-19,1001,29,1114,392,0.0
2011-09-20,1001,136,753,356,0.0
2011-09-21,1001,-120,713,294,1.201
2011-09-22,1001,239,979,340,5.724
2011-09-23,1001,-244,667,233,0.0
2011-09-24,1001,-124,872,258,0.655
2011-09-25,1001,122,879,404,0.0
2011-09-26,1001,-76,828,315,0.839
2011-09-27,1001,108,832,407,0.0
2011-09-28,1001,115,1029,429,0.914
2011-09-29,1001,-172,545,201,0.0
2011-09-30,1001,-173,879,234,2.717
2011-10-01,1001,88,641,335,1.269
2011-10-02,1001,154,1150,465,0.0
2011-10-03,1001,155,679,372,0.0
2011-10-04,1001,148,995,469,5.054
